config_id,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
42,8.703591361485167,4158.929594437559,2643.8460169713867,0.8175553423258739,-5.258017996186025e-13,4184.483421491371,2650.165425476597,0.8152471461014057,-0.04328789081553186,3417.324423483984
46,7.575250258771905,4158.793045151306,2644.264970224178,0.8175673225473223,-3.5540105510076783e-13,4184.324146032201,2650.573996150417,0.8152613826046762,-0.042355470964153596,3417.4490710913087
15,4.0554607358408274,4158.488679539435,2645.7001883193448,0.8175940248090807,-4.864685048232283e-13,4183.9496943141385,2651.9941492504586,0.8152949777054026,-0.03964279492618061,3417.9719217822985
12,3.072112998861753,4158.357343792873,2646.0550078325227,0.8176055458161696,-8.147454598563392e-13,4183.859745288909,2652.406941276835,0.8153030558605331,-0.05426125116331981,3418.133343282872
16,2.1711179456945007,4158.089582200098,2646.2567956259095,0.8176290386463598,-4.74782404682062e-13,4183.631398094942,2652.6454056973516,0.815323322156019,-0.05790290408644072,3418.1384018961467
9,1.762914118095948,4157.980924316042,2646.3749982183544,0.8176385694723717,-3.9740133429490794e-13,4183.514985559848,2652.7560976609575,0.8153336583074356,-0.05308448214105077,3418.135541610403
8,1.3354515629298973,4157.88872008715,2646.540397463991,0.8176466563921396,-3.973209208457355e-13,4183.410826627489,2652.8865155787503,0.815342919169445,-0.06091151662251448,3418.1486711031193
13,0.9437878277775371,4157.829708295703,2646.7172712182523,0.8176518326221052,-2.450860816447884e-13,4183.343576501845,2653.049411534157,0.8153489142154737,-0.060191435847821495,3418.196494018001
39,0.8804883581643465,4157.822218741392,2646.747878050818,0.8176524896126944,-2.2848181074145975e-13,4183.335191390624,2653.0785982296343,0.8153496629528174,-0.05991549587113987,3418.2068948101287
4,0.5805225516094895,4157.793149147019,2646.900260525358,0.8176550393934856,7.990240211176246e-13,4183.299539732381,2653.2262906412375,0.8153528564969107,-0.05903209583620139,3418.2629151868096
18,0.38274944785163073,4157.7806787716045,2647.007805414894,0.8176561331803467,-4.4024851689594415e-13,4183.280341488344,2653.3282966972292,0.815354583115778,-0.05812892874461273,3418.3043190927865
35,0.333129478793467,4157.7783441606525,2647.0352999039123,0.8176563379447549,-7.374562478412832e-13,4183.276781998073,2653.354813481059,0.8153549052753799,-0.057759237335194946,3418.315797739566
23,0.28994228538828754,4157.776555840746,2647.0595178519734,0.8176564948068351,-1.7723024601597307e-13,4183.273833464707,2653.3788863657137,0.815355172344729,-0.05738862330358607,3418.3263599152106
49,0.2049074689815846,4157.773758577962,2647.1077034745394,0.8176567401680073,-6.45539099176218e-14,4183.268754603345,2653.4264676902835,0.8153556340904726,-0.056658882807298916,3418.3476111468144
38,0.1350993521198025,4157.772178981961,2647.1476842315487,0.8176568787221352,-1.0995962922632591e-15,4183.265321168348,2653.465758129735,0.8153559482750963,-0.05606579597177408,3418.3655396490417
37,0.11758495540521557,4157.771884405148,2647.1577904197566,0.8176569045608764,-7.22767122339526e-13,4183.26455886228,2653.475635914328,0.8153560183500737,-0.055915086217204646,3418.370097388304
30,0.09547716114208056,4157.771571668167,2647.1706413422394,0.8176569319922133,-1.7925998322082655e-13,4183.26363750906,2653.488357413519,0.8153561031471954,-0.05571759636751228,3418.3759974612894
5,0.07232633896483534,4157.77131222418,2647.184278295578,0.8176569547494319,-6.881136253380653e-13,4183.262775545532,2653.5019452945417,0.8153561829685794,-0.055514242022012716,3418.382360420037
29,0.05872786613189477,4157.771180588728,2647.192284819637,0.8176569663000828,-9.706263598291554e-13,4183.262588803101,2653.5101382094044,0.8153562025025639,-0.05543559901770134,3418.3863635062526
21,0.054789011795939396,4157.771109728566,2647.1945440302525,0.8176569725303273,-4.335780878792707e-13,4183.263359670926,2653.5130799897233,0.8153561377526537,-0.05568150048169951,3418.3882198303245
45,0.04768611697714469,4157.771065090083,2647.19788019321,0.8176569764530319,3.1137470678007137e-13,4183.263596448116,2653.5171053117992,0.8153561199784993,-0.0554378483353446,3418.3903508799576
6,0.029331662783900425,4157.771347839995,2647.20632481929,0.8176569516537738,4.0054486026206094e-13,4183.261161230614,2653.5226113082435,0.8153563392789114,-0.056632542632050864,3418.3918862694286
36,0.013667163564620059,4157.770679932945,2647.2163341044165,0.8176570103341397,-2.1513574240178044e-14,4183.273671927294,2653.5452686493254,0.815355253934036,-0.05280536335226671,3418.40947028831
1,0.007316807143427192,4157.770358001708,2647.222005909326,0.817657038573306,-7.184976025838997e-13,4183.279673658881,2653.555852771801,0.815354732635287,-0.05376623183304563,3418.4177632153405
24,0.006368249944718587,4157.770326640882,2647.222853599915,0.8176570413242151,-8.615102154231111e-13,4183.280592294299,2653.5574423864837,0.8153546528231924,-0.053909757548267656,3418.4190173403913
50,0.003917101490809257,4157.770265734034,2647.2250492886656,0.8176570466668421,-2.0225784080847125e-13,4183.282992784872,2653.5615500817403,0.8153544442409089,-0.05428064089833562,3418.422271433306
27,0.003409285069746811,4157.770256745809,2647.2255050510535,0.8176570474552712,-2.799776072964219e-13,4183.283494914025,2653.5624010932474,0.8153544006056974,-0.0543574787130332,3418.4229480036365
19,0.0029673024081888696,4157.7702499370025,2647.225901728235,0.817657048052526,-8.191821855532091e-13,4183.283933289858,2653.5631417790455,0.8153543625094435,-0.05442435529186085,3418.423537534452
41,0.0024094035602395245,4157.770242690155,2647.2264024593437,0.8176570486882051,-2.581740307450089e-13,4183.284488421403,2653.5640767186833,0.8153543142651185,-0.0545087704193401,3418.424282570043
14,0.002247805833548725,4157.770240871969,2647.226547532862,0.8176570488476929,-9.305554328617847e-13,4183.2846495729045,2653.564347546248,0.8153543002597035,-0.05453322935770544,3418.424498559576
40,0.0019563983435170627,4157.770237912019,2647.2268326056137,0.8176570491073336,-4.014922114701685e-13,4183.2849210302065,2653.5648532707955,0.8153542766370111,-0.054580169997541006,3418.424887150501
34,0.0018251834943190425,4157.770236713275,2647.22694880817,0.817657049212485,-8.929050396907827e-14,4183.285053579226,2653.56507199722,0.8153542651191219,-0.05459983260850443,3418.425062788223
7,0.0012033778407775893,4157.770232163434,2647.2274961112444,0.8176570496115879,-5.569457437131208e-13,4183.285682185398,2653.5661063723214,0.8153542104968523,-0.05468717554703595,3418.42589427886
20,0.0011226677735108135,4157.770231709941,2647.227567837856,0.8176570496513674,-7.51383331427409e-13,4183.285764160502,2653.5662410537307,0.8153542033731161,-0.05469966133923165,3418.4260026071165
28,0.0010473708979594498,4157.770231315239,2647.2276347537927,0.8176570496859898,-7.96832350277753e-13,4183.2858406751575,2653.5663667021126,0.8153541967238656,-0.05471130971414784,3418.426103688635
11,0.0009771241535346503,4157.770230971466,2647.2276943734278,0.8176570497161452,-6.84374012902424e-13,4183.28590956257,2653.566478945184,0.815354190737777,-0.054723414855650354,3418.426194253877
25,0.0009115888299750819,4157.770230672291,2647.2277499062247,0.8176570497423882,1.5946843372069406e-13,4183.28597588844,2653.566586275736,0.8153541849747439,-0.054736532320281306,3418.426281082088
26,0.0006442363508721371,4157.770229667724,2647.227989118814,0.8176570498305067,-3.164204164152182e-13,4183.286248928112,2653.5670344635005,0.8153541612463036,-0.05477665473240023,3418.426641695806
17,0.0004880251583654434,4157.770229240502,2647.2281275495798,0.8176570498679818,-4.44039165122072e-13,4183.286408465573,2653.56729408742,0.8153541473819726,-0.05480032953330216,3418.4268512764966
33,0.00045529350748669476,4157.77022916594,2647.2281569258794,0.8176570498745221,-5.419521300496876e-13,4183.286441971617,2653.5673491092593,0.815354144470052,-0.05480522613269034,3418.426895540438
10,0.00022739657523579274,4157.770228790222,2647.228361396213,0.8176570499074793,9.196533446712451e-14,4183.286675773728,2653.567732862284,0.8153541241492764,-0.0548390725336132,3418.4272043180063
43,0.00013987131026472387,4157.770228712603,2647.2284399740556,0.817657049914288,-3.1887528081273513e-13,4183.286765406555,2653.5678798228932,0.8153541163599528,-0.05485226108029373,3418.4273226147243
3,8.026433522257174e-05,4157.770228680916,2647.2284932829316,0.8176570499170674,-2.0578155099214982e-13,4183.286826654094,2653.5679796881695,0.8153541110371487,-0.05486112880801475,3418.4274031711316
47,7.48810385759003e-05,4157.7702286789,2647.2284981296407,0.8176570499172444,-1.0493293235992574e-13,4183.286832158784,2653.5679887417455,0.8153541105587876,-0.054861947624528895,3418.4274104502647
44,5.2919787359584364e-05,4157.770228672123,2647.228517901861,0.8176570499178388,-5.436265169535299e-13,4183.28685461719,2653.568025675951,0.8153541086071363,-0.0548652880016709,3418.427440146571
48,3.739937302478794e-05,4157.770228668739,2647.228531875254,0.8176570499181357,-1.9416290616823182e-13,4183.286870490811,2653.568051778031,0.8153541072277055,-0.054867648705956285,3418.4274611344213
32,3.489101213406774e-05,4157.770228668302,2647.2285341335864,0.8176570499181741,-1.2306642826968291e-12,4183.2868730564005,2653.568055996563,0.8153541070047536,-0.05486803023660869,3418.427464526482
22,3.0367711180354606e-05,4157.7702286675885,2647.228538206021,0.8176570499182365,-1.941023911344043e-13,4183.286877683005,2653.568063603807,0.8153541066026976,-0.054868718244418524,3418.4274706434057
2,2.833096101839324e-05,4157.7702286673,2647.228540039754,0.8176570499182618,-5.752553635463594e-13,4183.286879766312,2653.5680670291927,0.8153541064216562,-0.05486902804064275,3418.4274733977527
31,1.867913599020781e-05,4157.770228666204,2647.228548671279,0.817657049918358,2.2190079045797146e-14,4183.286889643294,2653.568083244362,0.8153541055633241,-0.05487050607917254,3418.4274864438275
