config,val_mae_mean,train_mae_mean,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R187_iter1000_lr0.098_l21.6,1240.5326176796705,1009.373351191761,30,127,1000,20.0,0.09842105263157895,1.5526315789473684,255,42
R176_iter600_lr0.091_l21.4,1242.5428334355556,1016.2196150798947,20,127,600,25.0,0.09105263157894737,1.4473684210526314,255,42
R31_iter1500_lr0.102_l22.5,1243.9917390291646,1028.2788977746384,30,127,1500,25.0,0.10210526315789473,2.5,255,42
R14_iter600_lr0.091_l21.1,1244.3575521038083,1030.5440531001527,30,127,600,,0.09105263157894737,1.131578947368421,255,42
R194_iter1000_lr0.084_l21.3,1244.3809669951988,1029.4727100738728,20,127,1000,,0.08368421052631579,1.3421052631578947,255,42
R234_iter1500_lr0.102_l22.0,1244.7380788924452,1017.0457283789972,20,127,1500,20.0,0.10210526315789473,1.9736842105263157,255,42
R6_iter800_lr0.102_l21.8,1245.0138279738371,1020.9061975274184,20,127,800,25.0,0.10210526315789473,1.763157894736842,255,42
R44_iter1000_lr0.095_l22.1,1245.4145104442437,1040.3970291506391,40,127,1000,20.0,0.09473684210526316,2.0789473684210527,255,42
R53_iter600_lr0.095_l21.8,1245.4196676656097,1026.9593967149044,20,127,600,25.0,0.09473684210526316,1.763157894736842,255,42
R19_iter600_lr0.091_l21.0,1246.4641627123033,1030.157287298541,30,127,600,,0.09105263157894737,1.026315789473684,255,42
R193_iter1000_lr0.143_l22.1,1246.6882340439718,1001.7258001247834,20,127,1000,20.0,0.14263157894736841,2.0789473684210527,255,42
R158_iter1500_lr0.087_l22.4,1246.7191838549777,1034.3720975880701,30,127,1500,20.0,0.08736842105263158,2.394736842105263,255,42
R130_iter800_lr0.098_l21.4,1247.0133653740259,1038.6248278841545,30,127,800,20.0,0.09842105263157895,1.4473684210526314,255,42
R198_iter800_lr0.128_l20.7,1247.0768963716437,1013.6366205086402,20,127,800,25.0,0.12789473684210526,0.7105263157894737,255,42
R179_iter600_lr0.087_l22.1,1247.147342837781,1036.5712514363577,30,127,600,,0.08736842105263158,2.0789473684210527,255,42
R168_iter1000_lr0.106_l22.5,1247.226994393523,1028.3936312012765,30,127,1000,25.0,0.10578947368421052,2.5,255,42
R40_iter600_lr0.132_l20.7,1247.6572447389249,1008.0413683466011,20,127,600,20.0,0.13157894736842105,0.7105263157894737,255,42
R214_iter1000_lr0.087_l21.4,1247.9309242301874,1030.5834117455593,20,127,1000,20.0,0.08736842105263158,1.4473684210526314,255,42
R142_iter600_lr0.102_l21.0,1247.9443739681756,1028.851549144346,30,127,600,,0.10210526315789473,1.026315789473684,255,42
R103_iter1500_lr0.117_l20.8,1248.1044129859163,1024.9666933569015,20,127,1500,,0.11684210526315789,0.8157894736842105,255,42
R160_iter1000_lr0.098_l22.0,1248.6134690503195,1032.9669332297776,20,127,1000,15.0,0.09842105263157895,1.9736842105263157,255,42
R122_iter800_lr0.113_l21.0,1248.9481872925958,1027.5669165448905,20,127,800,20.0,0.1131578947368421,1.026315789473684,255,42
R105_iter600_lr0.124_l20.5,1249.2083128935203,1032.6506373403126,30,127,600,25.0,0.12421052631578947,0.5,255,42
R154_iter1500_lr0.150_l21.7,1249.2392450850684,1019.0438916841842,20,127,1500,,0.15,1.6578947368421053,255,42
R56_iter600_lr0.139_l20.9,1249.295406546038,1023.7104512903545,30,127,600,25.0,0.13894736842105262,0.9210526315789473,255,42
R74_iter600_lr0.084_l20.7,1249.3218412841413,1059.535263454186,40,127,600,20.0,0.08368421052631579,0.7105263157894737,255,42
R150_iter800_lr0.080_l22.1,1249.3244927547694,1049.18420792985,40,127,800,25.0,0.08,2.0789473684210527,255,42
R207_iter1500_lr0.113_l21.4,1249.3867042142542,1041.6894327619373,30,127,1500,15.0,0.1131578947368421,1.4473684210526314,255,42
R73_iter1500_lr0.139_l21.0,1249.5164707255917,1023.880741152098,30,127,1500,20.0,0.13894736842105262,1.026315789473684,255,42
R108_iter1000_lr0.084_l22.2,1249.7213136891075,1049.461109420844,30,127,1000,25.0,0.08368421052631579,2.1842105263157894,255,42
R15_iter600_lr0.102_l21.2,1249.8027408718526,1039.8692813598423,30,127,600,20.0,0.10210526315789473,1.236842105263158,255,42
R81_iter1500_lr0.109_l20.7,1249.8883310587362,1035.0072032794967,30,127,1500,20.0,0.1094736842105263,0.7105263157894737,255,42
R145_iter1500_lr0.084_l20.5,1249.934832301119,1057.6035062957094,40,127,1500,,0.08368421052631579,0.5,255,42
R30_iter600_lr0.135_l22.5,1250.0830943869835,1033.9596525830598,40,127,600,,0.13526315789473684,2.5,255,42
R205_iter1000_lr0.121_l20.8,1250.2191640773192,1038.7230847814858,40,127,1000,25.0,0.12052631578947368,0.8157894736842105,255,42
R36_iter600_lr0.106_l20.9,1250.2378174081928,1038.201852329907,20,127,600,,0.10578947368421052,0.9210526315789473,255,42
R107_iter1000_lr0.146_l20.9,1250.2460266304656,1026.3219974740437,20,127,1000,15.0,0.1463157894736842,0.9210526315789473,255,42
R75_iter600_lr0.135_l21.9,1250.2471638549137,1037.408518679159,40,127,600,,0.13526315789473684,1.8684210526315788,255,42
R3_iter800_lr0.117_l20.5,1250.3375958371453,1035.6502494114036,40,127,800,20.0,0.11684210526315789,0.5,255,42
R85_iter1500_lr0.121_l20.9,1250.393497616923,1029.9988833391712,30,127,1500,25.0,0.12052631578947368,0.9210526315789473,255,42
R148_iter1500_lr0.146_l22.4,1250.463312988615,1022.4724558341771,30,127,1500,,0.1463157894736842,2.394736842105263,255,42
R118_iter800_lr0.080_l21.8,1250.852168193232,1065.652455267954,20,63,800,25.0,0.08,1.763157894736842,255,42
R51_iter600_lr0.113_l22.4,1251.1248623698266,1031.7113486293292,20,127,600,15.0,0.1131578947368421,2.394736842105263,255,42
R117_iter800_lr0.113_l22.1,1251.384085806415,1048.5124314318066,40,127,800,25.0,0.1131578947368421,2.0789473684210527,255,42
R28_iter600_lr0.132_l21.1,1251.801226465857,1046.730986397345,30,127,600,,0.13157894736842105,1.131578947368421,255,42
R159_iter1500_lr0.084_l21.0,1252.136946588961,1067.5277989902863,20,63,1500,25.0,0.08368421052631579,1.026315789473684,255,42
R140_iter600_lr0.135_l20.6,1252.2781879576246,1034.1813436793173,30,127,600,20.0,0.13526315789473684,0.6052631578947368,255,42
R157_iter800_lr0.087_l21.1,1252.442629260007,1068.271265008879,20,63,800,,0.08736842105263158,1.131578947368421,255,42
R20_iter800_lr0.135_l20.8,1252.5642528584854,1044.0165810345213,40,127,800,,0.13526315789473684,0.8157894736842105,255,42
R52_iter1000_lr0.121_l22.5,1252.5895445956648,1045.936282872438,30,127,1000,15.0,0.12052631578947368,2.5,255,42
R241_iter1500_lr0.084_l22.3,1252.639728211554,1078.7504553567744,20,63,1500,25.0,0.08368421052631579,2.289473684210526,255,42
R92_iter600_lr0.135_l20.7,1252.6623446061615,1043.7143282793954,30,127,600,15.0,0.13526315789473684,0.7105263157894737,255,42
R232_iter1500_lr0.146_l22.5,1252.6909270791139,1024.7984142316968,20,127,1500,25.0,0.1463157894736842,2.5,255,42
R83_iter1500_lr0.146_l22.0,1252.8890146189005,1038.4139482317892,30,127,1500,15.0,0.1463157894736842,1.9736842105263157,255,42
R33_iter600_lr0.135_l21.2,1253.032150982579,1044.4820208425508,30,127,600,25.0,0.13526315789473684,1.236842105263158,255,42
R200_iter1000_lr0.143_l21.3,1253.0855601962694,1031.2583930981564,30,127,1000,,0.14263157894736841,1.3421052631578947,255,42
R221_iter1000_lr0.132_l21.4,1253.3353816448607,1042.8136589309158,30,127,1000,,0.13157894736842105,1.4473684210526314,255,42
R240_iter1500_lr0.084_l22.1,1253.5467129405765,1058.5825946849309,40,127,1500,20.0,0.08368421052631579,2.0789473684210527,255,42
R222_iter1000_lr0.139_l21.8,1254.0004642085003,1043.6203545367239,30,127,1000,,0.13894736842105262,1.763157894736842,255,42
R91_iter800_lr0.098_l21.1,1254.6538634150866,1078.1545770008404,20,63,800,15.0,0.09842105263157895,1.131578947368421,255,42
R136_iter1500_lr0.098_l22.0,1255.3095951976616,1076.8854998535644,20,63,1500,25.0,0.09842105263157895,1.9736842105263157,255,42
R115_iter800_lr0.098_l20.7,1255.3822510546106,1078.9324658520723,20,63,800,,0.09842105263157895,0.7105263157894737,255,42
R227_iter800_lr0.080_l21.1,1255.7856133321156,1086.5180542732037,30,63,800,20.0,0.08,1.131578947368421,255,42
R88_iter600_lr0.098_l21.2,1256.0069619649787,1067.3221791941955,30,127,600,15.0,0.09842105263157895,1.236842105263158,255,42
R180_iter600_lr0.087_l22.4,1256.067959474443,1075.2897672886143,40,127,600,15.0,0.08736842105263158,2.394736842105263,255,42
R147_iter1500_lr0.084_l22.5,1256.170273564408,1085.0390200812305,20,63,1500,20.0,0.08368421052631579,2.5,255,42
R82_iter800_lr0.121_l22.1,1256.628795922952,1064.4023746563862,40,127,800,25.0,0.12052631578947368,2.0789473684210527,255,42
R7_iter800_lr0.098_l21.7,1256.8964465497083,1060.0237380013273,20,127,800,10.0,0.09842105263157895,1.6578947368421053,255,42
R175_iter1000_lr0.132_l20.5,1256.914255354401,1058.3095934146215,30,127,1000,15.0,0.13157894736842105,0.5,255,42
R1_iter1000_lr0.098_l21.3,1257.0944719971576,1076.5555682061708,40,127,1000,15.0,0.09842105263157895,1.3421052631578947,255,42
R63_iter1000_lr0.102_l20.6,1257.1634872774684,1061.0956159516604,30,127,1000,15.0,0.10210526315789473,0.6052631578947368,255,42
R50_iter600_lr0.117_l21.4,1257.3777168185259,1081.1956139120325,30,63,600,20.0,0.11684210526315789,1.4473684210526314,255,42
R106_iter800_lr0.128_l22.0,1257.7413246334029,1076.2263829057672,20,63,800,,0.12789473684210526,1.9736842105263157,255,42
R38_iter1500_lr0.132_l20.6,1257.7721184522227,1049.5126219901294,20,127,1500,15.0,0.13157894736842105,0.6052631578947368,255,42
R186_iter1500_lr0.135_l22.2,1257.9381191099196,1071.3030507634348,20,63,1500,,0.13526315789473684,2.1842105263157894,255,42
R98_iter600_lr0.117_l21.8,1258.1918376687936,1077.7132810204891,20,63,600,15.0,0.11684210526315789,1.763157894736842,255,42
R133_iter600_lr0.106_l21.2,1258.2563600252165,1080.8716179205421,30,63,600,25.0,0.10578947368421052,1.236842105263158,255,42
R48_iter600_lr0.080_l22.2,1258.4460990097068,1094.469306985173,20,63,600,20.0,0.08,2.1842105263157894,255,42
R119_iter1000_lr0.098_l21.8,1258.4559535712788,1092.3302861401407,40,63,1000,20.0,0.09842105263157895,1.763157894736842,255,42
R96_iter1500_lr0.109_l20.5,1258.5978558625245,1085.6399612964326,30,63,1500,20.0,0.1094736842105263,0.5,255,42
R125_iter800_lr0.150_l21.3,1258.7006993576165,1059.1800632648192,40,127,800,20.0,0.15,1.3421052631578947,255,42
R66_iter1500_lr0.095_l21.6,1258.8243677562475,1093.9511835353646,30,63,1500,,0.09473684210526316,1.5526315789473684,255,42
R238_iter1500_lr0.117_l21.1,1259.4360010006826,1073.0612346962976,30,127,1500,15.0,0.11684210526315789,1.131578947368421,255,42
R0_iter800_lr0.095_l20.5,1259.83338505518,1089.3194250154486,30,63,800,25.0,0.09473684210526316,0.5,255,42
R233_iter1000_lr0.124_l21.1,1259.9946801726674,1084.4165839938014,20,63,1000,15.0,0.12421052631578947,1.131578947368421,255,42
R123_iter800_lr0.091_l22.0,1260.2760025648695,1084.6185448568885,40,127,800,15.0,0.09105263157894737,1.9736842105263157,255,42
R79_iter1500_lr0.098_l20.6,1260.4810424469947,1088.3030499702597,30,63,1500,15.0,0.09842105263157895,0.6052631578947368,255,42
R126_iter800_lr0.106_l22.5,1260.6286766268358,1093.923979270598,40,63,800,,0.10578947368421052,2.5,255,42
R188_iter1500_lr0.121_l21.4,1260.85888394892,1089.7954324777772,30,63,1500,15.0,0.12052631578947368,1.4473684210526314,255,42
R224_iter1500_lr0.143_l21.4,1261.2402954411164,1083.7251963075253,20,63,1500,10.0,0.14263157894736841,1.4473684210526314,255,42
R177_iter600_lr0.087_l22.5,1261.2757630226233,1074.4038492774587,20,127,600,10.0,0.08736842105263158,2.5,255,42
R210_iter800_lr0.124_l21.2,1261.7644978926562,1090.8265571922698,40,63,800,20.0,0.12421052631578947,1.236842105263158,255,42
R2_iter1500_lr0.102_l22.4,1262.084683781436,1097.9903197718093,40,63,1500,,0.10210526315789473,2.394736842105263,255,42
R191_iter600_lr0.132_l21.3,1262.180746801425,1090.4989565731762,40,63,600,25.0,0.13157894736842105,1.3421052631578947,255,42
R102_iter1000_lr0.102_l22.1,1262.2562144202584,1091.1398904387806,20,63,1000,10.0,0.10210526315789473,2.0789473684210527,255,42
R111_iter1000_lr0.095_l20.5,1262.3061724066624,1099.1665045583989,30,63,1000,15.0,0.09473684210526316,0.5,255,42
R77_iter800_lr0.113_l22.1,1262.8913143407256,1090.5989042498718,20,63,800,20.0,0.1131578947368421,2.0789473684210527,255,42
R190_iter1000_lr0.098_l20.6,1263.1964045321513,1094.1140969812568,30,63,1000,20.0,0.09842105263157895,0.6052631578947368,255,42
R65_iter1000_lr0.150_l22.2,1263.2070605268154,1079.8209393660777,20,63,1000,10.0,0.15,2.1842105263157894,255,42
R80_iter1500_lr0.124_l21.7,1263.2144946813619,1088.155741700242,20,63,1500,,0.12421052631578947,1.6578947368421053,255,42
R58_iter1500_lr0.132_l21.4,1263.230413376909,1094.4947842017375,30,63,1500,25.0,0.13157894736842105,1.4473684210526314,255,42
R24_iter1000_lr0.128_l22.3,1263.3906928401839,1079.5628082769388,40,127,1000,15.0,0.12789473684210526,2.289473684210526,255,42
R149_iter800_lr0.098_l21.1,1263.413006424605,1098.2936658212534,20,63,800,20.0,0.09842105263157895,1.131578947368421,255,42
R219_iter800_lr0.084_l22.1,1263.6892463918252,1108.6289480002135,30,63,800,,0.08368421052631579,2.0789473684210527,255,42
R89_iter1000_lr0.146_l21.0,1263.7099307461076,1087.4784108322133,20,63,1000,10.0,0.1463157894736842,1.026315789473684,255,42
R139_iter1000_lr0.095_l21.1,1264.0366363034555,1097.5052791489609,30,63,1000,15.0,0.09473684210526316,1.131578947368421,255,42
R43_iter1500_lr0.121_l20.7,1264.4330801560714,1101.5130253284474,40,63,1500,25.0,0.12052631578947368,0.7105263157894737,255,42
R141_iter1500_lr0.124_l21.9,1264.5167339569587,1099.5334015624703,40,63,1500,,0.12421052631578947,1.8684210526315788,255,42
R132_iter1500_lr0.132_l20.9,1264.5823624911377,1096.7023350827599,30,63,1500,20.0,0.13157894736842105,0.9210526315789473,255,42
R11_iter1500_lr0.087_l21.9,1265.037377890103,1103.679299285584,30,63,1500,,0.08736842105263158,1.8684210526315788,255,42
R21_iter600_lr0.091_l22.1,1265.1759811079792,1110.4969209683834,40,63,600,15.0,0.09105263157894737,2.0789473684210527,255,42
R78_iter800_lr0.135_l21.6,1265.1960950016387,1094.9871811609225,20,63,800,25.0,0.13526315789473684,1.5526315789473684,255,42
R243_iter800_lr0.084_l21.0,1265.2280137917874,1106.1714325380572,40,63,800,,0.08368421052631579,1.026315789473684,255,42
R104_iter800_lr0.098_l21.1,1265.3469528867488,1104.2347763553696,30,63,800,15.0,0.09842105263157895,1.131578947368421,255,42
R248_iter600_lr0.150_l22.4,1265.7026253907302,1073.8314324653488,40,127,600,15.0,0.15,2.394736842105263,255,42
R35_iter1500_lr0.106_l20.9,1265.8019151450978,1099.2902582983388,30,63,1500,,0.10578947368421052,0.9210526315789473,255,42
R201_iter800_lr0.087_l20.7,1266.4171918477668,1105.4246221301664,20,63,800,25.0,0.08736842105263158,0.7105263157894737,255,42
R135_iter1500_lr0.143_l21.3,1266.9362944496154,1097.6270336429825,30,63,1500,25.0,0.14263157894736841,1.3421052631578947,255,42
R195_iter1000_lr0.146_l21.0,1267.04583658738,1092.0214610854173,30,63,1000,25.0,0.1463157894736842,1.026315789473684,255,42
R39_iter1000_lr0.143_l22.5,1267.0541096996972,1094.4544002120151,20,63,1000,10.0,0.14263157894736841,2.5,255,42
R114_iter1500_lr0.095_l22.0,1267.2427593482234,1107.0687648457588,30,63,1500,25.0,0.09473684210526316,1.9736842105263157,255,42
R203_iter600_lr0.121_l20.5,1267.2863936761346,1100.6891567331425,30,63,600,25.0,0.12052631578947368,0.5,255,42
R97_iter1500_lr0.080_l21.4,1267.8506479308512,1113.6607252076062,30,63,1500,15.0,0.08,1.4473684210526314,255,42
R197_iter1500_lr0.121_l21.6,1267.9055305554311,1107.3408570536922,40,63,1500,15.0,0.12052631578947368,1.5526315789473684,255,42
